Modelo;Cam_X_Robot;Cam_Y_Robot;Cam_Z_Robot;Robot_Pred_X;Robot_Pred_Y;Robot_Pred_Z;Robot_Real_X;Robot_Real_Y;Robot_Real_Z;Tiempo_Ms
LINEAL;-0.15114543722610224;0.09527516478361839;1.4716255955433732;0.05484378788107786;-0.5549416593693208;-0.13187812758165293;0.09650454668339677;-0.6536989511500787;-0.1300227660985409;0.014600000213249587
LINEAL;-0.16043726080572934;0.09622509801340912;1.4874753440666133;0.06179210185313226;-0.5469912530527431;-0.13114121470364867;0.10149023729092924;-0.6507442098214005;-0.12998081650970641;0.021100000594742596
LINEAL;-0.16703308663843344;0.09493505799208174;1.4822412910649332;0.06672438111972316;-0.5496167109888639;-0.13214196620390564;0.10483258777503827;-0.6483946366970577;-0.13010480086849294;0.01449999945180025
LINEAL;-0.17461985035113262;0.09509103395888623;1.4938447613795494;0.07239767182050706;-0.5437962840244689;-0.13202096749053005;0.10683855206803806;-0.6472438090262206;-0.13009701276207813;0.016399999367422424
LINEAL;-0.180101908558353;0.09518461953896892;1.500806843568319;0.0764970890458149;-0.5403040278458319;-0.13194836826250472;0.10871314647790634;-0.6464611608690477;-0.1300394223452143;0.014400000509340316
LINEAL;-0.18432114346228617;0.09524077088701854;1.504984092881581;0.07965218218583715;-0.5382086741386496;-0.1319048087256895;0.10944505735141209;-0.6465089672262935;-0.13007497051556005;0.015499999790336005
LINEAL;-0.18778268438424697;0.0952744616958483;1.5074904424695381;0.08224068087468801;-0.5369514619143402;-0.13187867300360037;0.10986138800787902;-0.6467196491053065;-0.1301361793324105;0.014400000509340316
LINEAL;-0.19183883966324075;0.09531852233446926;1.5244942518823275;0.08527382503162709;-0.5284221660985041;-0.13184449286230768;0.10998388365768154;-0.6470281546206775;-0.13014220223246098;0.015200001143966801
LINEAL;-0.19322330208442062;0.09532111256431874;1.5191965378699859;0.0863091093869995;-0.531079557090253;-0.1318424834855713;0.11003437855583643;-0.6472486066041816;-0.1300876933737169;0.014799999917158857
LINEAL;-0.19510321028334493;0.09534651285555153;1.531517909122596;0.08771488213901396;-0.5248990232040518;-0.1318227791514902;0.11007110730049412;-0.6474325563725867;-0.1299851365626737;0.014900000678608194
LINEAL;-0.19518192445648314;0.0953379068769681;1.5234107322141472;0.08777374365143162;-0.5289656713535815;-0.1318294552590808;0.1101040704213691;-0.6475184259585265;-0.12995901329185633;0.014600000213249587
LINEAL;-0.19522915296036608;0.09533274328981804;1.5185464260690777;0.08780906055888224;-0.5314056602432995;-0.13183346092363515;0.11007152657138539;-0.6475381533988815;-0.1299448721753369;0.015499999790336005
LINEAL;-0.1963067208089122;0.09630733742377512;1.5311278420420513;0.08861485284214361;-0.5250946850958796;-0.13107741729275957;0.11001792547500841;-0.6469370856535942;-0.12999057255657037;0.014999999621068127
LINEAL;-0.1959040307718235;0.09591440161790225;1.52317669196582;0.08831372607330941;-0.5290830684886784;-0.13138223814384242;0.11005320726732495;-0.6454402784443518;-0.13003089777830987;0.014100000043981709
LINEAL;-0.1956624167495703;0.09567864013437853;1.5184060019200816;0.08813305001200891;-0.5314760985243575;-0.13156513065449213;0.11007583500149833;-0.644141963086551;-0.12998987826690478;0.013900000340072438
LINEAL;-0.19656667908243475;0.0955610293975874;1.5310435875526536;0.08880924651401963;-0.5251369480645145;-0.13165636745284273;0.10998538515816808;-0.6431454169361017;-0.1300120493201179;0.013900000340072438
LINEAL;-0.19710923648215342;0.09549046295551272;1.5386261389321967;0.08921496441522606;-0.5213334577886087;-0.13171110953185308;0.10920938779115205;-0.642122584248684;-0.13001287187513505;0.013900000340072438
LINEAL;-0.19545554019616732;0.09542427693694482;1.5276756700999075;0.08797835021232135;-0.5268263321043158;-0.13176245348729854;0.10752439236103804;-0.6416800509560235;-0.1300568799474912;0.014999999621068127
LINEAL;-0.19446332242457565;0.09538456532580407;1.521105388800534;0.08723638169057853;-0.53012205669374;-0.13179325986056578;0.10492051811587359;-0.6417704344079211;-0.13003870520953076;0.014600000213249587
LINEAL;-0.19293799178201976;0.09443073837951871;1.5171632200209098;0.08609575777269532;-0.5320994914473945;-0.13253319329805593;0.10159708730328024;-0.6420949878873924;-0.13006076297238436;0.014799999917158857
LINEAL;-0.1910927934168853;0.09571844217094932;1.5147979187531353;0.08471594061712785;-0.5332859522995872;-0.13153425413349046;0.09846200600549372;-0.6416446813166923;-0.13003926242795721;0.014600000213249587
LINEAL;-0.18812567443860279;0.09556106446620677;1.5133787379924706;0.08249716471411234;-0.5339978288109029;-0.13165634024828096;0.09472381900201653;-0.6401519401295678;-0.1300532580859717;0.015800000255694613
LINEAL;-0.1844854030924315;0.09546663784336124;1.5125272295360719;0.07977501356262799;-0.5344249547176922;-0.13172959191715525;0.08992665147767762;-0.637928000186814;-0.13001488504617087;0.014200000805431046
LINEAL;-0.18044124032552689;0.09540998186965392;1.5120163244622327;0.07675083726206233;-0.5346812302617658;-0.13177354291847984;0.08448505485150395;-0.6354266382489347;-0.12991734425852114;0.014999999621068127
LINEAL;-0.17694166576584464;0.09635368057167665;1.5272097810779441;0.07413389747614119;-0.5270600271069595;-0.13104146648966636;0.07777225502790873;-0.6328506526539059;-0.13001907102347826;0.015699999494245276
